time_myr,bh_id,mass_msun,vx,vy,vz,x,y,z
70.0014,38716.0,4.1799,0.4655,-0.793,0.3118,19.0924,-21.8736,10.3407
70.0014,45171.0,4.9409,0.0209,0.0656,0.3078,-0.0822,-0.1873,0.3874
70.0014,3838.0,14.7008,0.1999,0.3622,-0.1267,0.1122,-0.2627,0.0003
70.0014,64502.0,7.6248,0.2041,0.3303,0.1487,0.0788,-0.5708,-0.2184
70.0014,23052.0,13.819,0.2052,0.0764,-0.1679,-2.3535,1.35,-1.9564
70.0014,84418.0,4.1033,-0.05,-0.7028,0.5971,2.6299,-22.1897,18.3864
70.0014,91864.0,13.4724,0.1026,0.1898,-0.4295,1.1005,13.3366,-25.1797
70.0014,14205.0,13.9834,0.4375,0.4377,-0.0272,0.0716,0.1469,-0.158
70.0014,112949.0,3.1712,-0.7928,-0.1029,-0.7059,-20.8518,-5.0423,-19.3266
70.0014,60751.0,13.5213,-0.0137,-0.0649,0.0129,0.1259,-0.1526,-0.3699
80.0009,72517.0,13.7305,0.2221,0.3481,0.2156,0.4036,0.1871,0.201
80.0009,129042.0,6.4324,0.5021,-0.0662,0.4106,-0.6874,0.1287,-0.5603
80.0009,106075.0,13.5899,-0.0271,-0.0834,0.1592,-1.319,6.0228,-5.8716
80.0009,151257.0,3.635,0.1649,-0.5478,0.5561,10.9121,-20.0094,23.5814
80.0009,178256.0,13.5156,-0.4536,-0.335,-0.5354,0.2774,-0.7085,0.8132
80.0009,115438.0,14.3358,-0.0268,0.0775,-0.2209,0.0664,0.2798,0.0838
80.0009,188940.0,3.3753,-0.0091,-1.0248,0.2336,6.8277,-38.0508,7.217
80.0009,160006.0,3.8885,-0.1398,-0.3668,0.0515,-2.3063,-2.3421,-1.19
80.0009,173068.0,4.3,0.0973,-0.1032,-0.2493,-2.6056,0.8892,0.3025
80.0009,40020.0,7.6527,-0.2768,0.0002,-0.2963,0.7065,0.1944,1.0248
80.0009,121131.0,3.1016,0.2816,-0.0701,0.1486,-0.2464,1.9062,-0.8284
80.0009,3550.0,3.9901,0.0133,-0.4399,0.1021,4.2318,-21.2167,3.0282
80.0009,69563.0,14.0088,-0.3827,0.0957,-0.331,0.2686,0.0189,-0.0313
80.0009,82629.0,14.0212,0.5533,-0.1877,-0.2613,33.7071,0.4803,-17.4935
80.0009,91864.0,13.4724,0.1222,0.174,-0.4141,2.2251,15.156,-29.3966
80.0009,146887.0,13.9179,0.486,0.1952,-0.3605,-0.3947,-0.5637,0.6109
80.0009,64220.0,8.6695,0.0119,0.089,0.1146,4.0257,0.9761,-0.6478
80.0009,69610.0,3.6951,0.2413,-0.0213,1.0527,8.2553,-0.8552,42.093
90.001,148820.0,3.808,-0.2847,-0.1008,-0.1301,-1.7569,0.4295,-0.8911
90.001,106075.0,13.5899,-0.0078,-0.1973,0.2634,-1.5141,4.6858,-3.8004
90.001,42818.0,9.3118,0.5196,-0.3083,-0.2104,36.0405,-8.4112,-16.0145
90.001,181280.0,3.179,-0.2178,0.0034,-0.4399,-9.4624,-1.4202,-25.5508
90.001,193678.0,15.4574,-0.2554,-0.0,0.093,-22.2129,-0.6157,9.1208
90.001,157538.0,5.6217,0.2021,-0.0912,-0.402,-0.4465,-3.4447,2.2234
90.001,193704.0,8.7719,-0.4186,0.3289,0.5997,0.6462,-0.2818,-0.6822
90.001,31157.0,4.0681,0.1534,0.2876,0.1118,1.4602,-1.0081,0.4859
90.001,45171.0,4.9409,-0.0847,0.3795,-0.0447,0.1548,-0.4141,0.1948
90.001,5720.0,7.9139,0.1053,-0.2708,-0.1182,-0.1582,0.1664,-1.0231
90.001,82025.0,13.4732,0.3556,0.571,-0.2621,-0.514,-0.2734,0.1483
90.001,85662.0,3.2495,-0.357,-0.0478,0.4656,-16.2309,-7.8304,24.6448
90.001,49322.0,5.8873,-0.0053,-0.0713,0.053,12.2243,-5.2041,3.0023
90.001,89468.0,7.4357,0.0085,-0.0646,0.0068,0.8385,-1.5258,-0.6336
90.001,33465.0,3.6539,-0.2635,0.2963,0.5273,0.7051,-0.9127,-1.1051
100.0031,148820.0,3.808,0.3017,0.4027,0.1413,1.4547,0.8823,0.4785
100.0031,117899.0,4.2905,0.0466,-0.2096,0.0401,-0.2053,0.4836,0.1197
100.0031,166318.0,7.5585,-0.5544,-0.6575,-0.171,0.6384,0.6539,0.0124
100.0031,19821.0,6.3179,0.2935,-0.3218,0.113,28.1934,-15.2655,8.7686
100.0031,115438.0,14.3358,-0.0233,0.3535,0.024,0.0526,0.2148,-0.0659
100.0031,197898.0,13.525,0.0325,-0.1565,0.0226,10.0428,-19.4393,-5.3428
